years,Lple,Dple,Lsol,Dsol,Ltur,Dtur,Lbll,Llem,Dlem
1976,125065,55753,17189,1683,4816,,1208,5233,1990
1977,110052,58373,15273,1688,4486,,1410,6324,2405
1978,126686,49078,18065,2164,5036,,1375,6952,2643
1979,117184,51503,22214,2022,6365,,1363,7521,2860
1980,150637,33736,16900,1059,5486,,1033,7298,2775
1981,153226,33909,13550,1779,4756,,1218,7016,2668
1982,147893,47967,21385,3831,4454,,1294,8487,3227
1983,144697,68760,25670,4158,4576,,1448,9507,3615
1984,160240,63696,26318,3703,5297,,1522,8111,3084
1985,177891,62914,24625,2729,6188,,1709,7575,2880
1986,167833,114732,18493,1890,5264,,1207,5937,2257
1987,161608,163310,16329,2087,4272,,970,6495,2470
1988,170276,149224,17821,2081,4042,,1085,6798,2585
1989,182594,99386,20576,3642,4927,,1302,7024,2671
1990,168873,72957,46060,5984,5751,,893,7485,2846
1991,151633,74207,39218,3511,6340,,1682,7780,2958
1992,142104,62652,35099,3142,5934,,1810,7442,2830
1993,139204,36448,30543,4065,5547,,2439,7413,2819
1994,118406,21827,35082,4201,5244,,1916,6758,2570
1995,108604,22163,28736,2152,4672,,1434,6301,2396
1996,102061,45687,20135,1602,3644,,1247,6522,2480
1997,89874,83311,16091,1892,3382,,957,6056,2303
1998,72036,95413,18501,3645,3087,,1283,7677,2919
1999,90577,68345,27156,4470,3187,,1280,7297,2775
2000,106487,48668,20748,2864,4026,,1508,7170,2726
2001,70190,68151,17795,2269,4101,,1573,6455,2454
2002,89072,55970,15565,1685,3750,,1302,4819,1832
2003,69324,72642,16181,2808,3375,,1346,4716,1793
2004,78063,57247,18418,2965,3319,,1249,4569,1737
2005,63641,55844,13830,1712,3195,,1160,4463,1697
2006,66901,51504,10519,1155,2977,,1175,4290,1631
2007,60273,44195,8840,1462,3510,,1240,4488,1706
2008,61321,48515,12080,1619,3007,,1004,3975,1511
2009,66394,47146,12595,1446,3091,,1162,3394,1291
2010,76331,43050,12863,1747,2692,,1500,3201,1217
2011,78020,44546,13132,2406,2807,,1497,4022,1529
2012,81367,49464,14467,2279,2914,,1512,4026,1531
2013,91168,44006,14261,1517,2982,97,1389,3265,1281
2014,81221,51089,13214,1340,2834,159,1212,3508,1612
2015,91175,44526,13114,1606,2925,112,1694,3481,1445
2016,94623,45146,13666,1484,3493,666,1526,3784,1018
2017,,,,,3441,496,1460,,
2018,,,,,3140,486,1163,,
