year,Ltur,Dtur,Ctur,Itur,,Lbll,Dbll,Cbll,Ibll,,Lwit,Dwit,Cwit,Iwit,Iwit,,,Ldab,Ddab,Cdab,Idab,,,Llem,Dlem,Clem,Ilem,,
,Subarea 4,Subarea 4,Subarea 4,Subarea 4,,"Subarea 4, div 3.a, div 7.d-e","Subarea 4, div 3.a, div 7.d-e",,Subarea 4,,"Subarea 4, div 3.a","Subarea 4, div 3.a","Subarea 4, div 3.a","Subarea 4, div 3.a","Subarea 4, div 3.a",,,"Subarea 4, div 3.a","Subarea 4, div 3.a","Subarea 4, div 3.a","Subarea 4, div 3.a",,,"Subarea 4, div.3a, div 7.d","Subarea 4, div.3a, div 7.d","Subarea 4, div.3a, div 7.d","Subarea 4, div.3a, div 7.d","Subarea 4, div.3a, div 7.d","Subarea 4, div.3a, div 7.d"
,Ices advice 2019*,Ices advice 2019*,Ices advice 2019*,WGNSSK 2019,,Ices advice 2019*,Ices advice 2019*,,WGNSSK 2019,,WGNSSK 2019,WGNSSK 2019,,WGNSSK 2019,WGNSSK 2019,,,WGNSSK 2019,ices advice 2018,,WGNSSK 2016,,,WGNSSK 2019,WGNSSK 2019,,ICES advice 2018*,WGNSSK 2017,WGNSSK 2017
,Landings ,Discards ,Catches,LpUE Dutch 80 mm beam trawl fleet (BT2),,Landings,Discards,,LPUE Dutch beam trawl fleet > 221 kW,,Landings,ICES discards,Catches,IBTS Q1,IBTS Q3,,,Landings ,Discards,Catch,IBTS Q1,,,Landings ,ICES discards,Catch,IBTS–Q1  SCO/NED,IBTS–Q1,IBTS–Q3
,(tonnes),(tonnes),(tonnes),,,(tonnes),(tonnes),,(kg/day),,(tonnes),(tonnes),(tonnes),(kg/hr),(kg/hr),,,(tonnes),(tonnes),(tonnes),(kg/hr),,,(tonnes),(tonnes),(tonnes),(kg/hr),(kg/hr),(kg/hr)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,,,,,,762,,,,,2379,,,,,,,7258,,,,,,4269,,,,,
1951,,,,,,926,,,,,2568,,,,,,,9522,,,,,,5272,,,,,
1952,,,,,,873,,,,,2554,,,,,,,9270,,,,,,5463,,,,,
1953,,,,,,897,,,,,2263,,,,,,,7038,,,,,,5958,,,,,
1954,,,,,,823,,,,,1590,,,,,,,6889,,,,,,4634,,,,,
1955,,,,,,844,,,,,2027,,,,,,,7880,,,,,,4079,,,,,
1956,,,,,,789,,,,,1936,,,,,,,7549,,,,,,3594,,,,,
1957,,,,,,686,,,,,1991,,,,,,,8851,,,,,,3599,,,,,
1958,,,,,,750,,,,,2678,,,,,,,8552,,,,,,3280,,,,,
1959,,,,,,716,,,,,2333,,,,,,,7182,,,,,,3859,,,,,
1960,,,,,,856,,,,,2563,,,,,,,6482,,,,,,4254,,,,,
1961,,,,,,933,,,,,2093,,,,,,,5969,,,,,,5169,,,,,
1962,,,,,,853,,,,,1419,,,,,,,5765,,,,,,4824,,,,,
1963,,,,,,791,,,,,1523,,,,,,,6180,,,,,,3956,,,,,
1964,,,,,,731,,,,,1760,,,,,,,6557,,,,,,4332,,,,,
1965,,,,,,738,,,,,1356,,,,,,,7571,,,,,,5218,,,,,
1966,,,,,,786,,,,,1137,,,,,,,7617,,,,,,5775,,,,0.327,
1967,,,,,,582,,,,,1125,,,,,,,5439,,,,,,6710,,,,0.259,
1968,,,,,,736,,,,,1174,,,,,,,5543,,,,,,6792,,,1.068,0.453,
1969,,,,,,947,,,,,891,,,,,,,5552,,,,,,5000,,,1.487,0.664,
1970,,,,,,774,,,,,597,,,,,,,6262,,,,,,3859,,,0.935,0.44,
1971,,,,,,1243,,,,,843,,,,,,,7788,,,,,,4497,,,0.083,0.072,
1972,,,,,,1189,,,,,908,,,,,,,9570,,,,,,4315,,,0.341,0.181,
1973,,,,,,1210,,,,,1494,,,,,,,11106,,,,,,5233,,,1.367,0.975,
1974,,,,,,1433,,,,,1138,,,,,,,9149,,,,,,4761,,,1.552,0.573,
1975,4589,,,,,1546,,,,,1841,,,,,,,9082,,,,,,5379,,,1.653,0.402,
1976,4816,,,,,1717,,,,,1496,,,,,,,7500,,,,,,5233,,,0.971,0.279,
1977,4486,,,,,2121,,,,,1618,,,,,,,9020,,,,,,6325,,,0.759,0.596,
1978,5036,,,,,2002,,,,,1664,,,,,,,9037,,,,,,6954,,,1.25,0.565,
1979,6365,,,,,2006,,,,,1572,,,,,,,10959,,,,,,7521,,,1.166,0.488,
1980,5486,,,,,1517,,,,,1883,,,,,,,10690,,,,,,7298,,,0.629,0.321,
1981,4756,,,,,1767,,,,,1933,,,,,,,11133,,,,,,7016,,,1.668,0.963,
1982,4454,,,,,1855,,,,,3155,,,,,,,12467,,,,,,8487,,,1.666,0.853,
1983,4576,,,,,2057,,,,,3606,,,0.26,,,,14771,,,12.15,,,9507,,,1.418,1.61,
1984,5297,,,,,2150,,,,,3903,,,0.16,,,,8251,,,11.96,,,8111,,,1.667,1.629,
1985,6188,,,,,2313,,,,,3979,,,0.18,,,,7047,,,13.04,,,7575,,,0.581,1.273,
1986,5264,,,,,1770,,,,,3579,,,0.26,,,,4813,,,18.02,,,5937,,,1.128,1.467,
1987,4272,,,,,1568,,,,,3700,,,0.22,,,,6189,,,22.52,,,6495,,,0.825,1.313,
1988,4042,,,,,1638,,,,,3290,,,0.13,,,,9321,,,22.09,,,6798,,,1.15,1.357,
1989,4927,,,,,1824,,,,,3841,,,0.29,,,,8162,,,29.97,,,7024,,,1.88,1.583,
1990,5751,,,,,1564,,,,,3862,,,0.15,,,,4275,,,32.28,,,7485,,,2.133,1.548,
1991,6340,,,,,2251,,,,,3641,,,0.14,0.25,,,5057,,,20.86,,,7780,,,1.263,1.171,3.373
1992,5934,,,,,2419,,,,,3164,,,0.21,0.17,,,4101,,,30.91,,,7442,,,2.162,1.542,3.987
1993,5547,,,,,3141,,,,,2673,,,0.35,0.15,,,5004,,,32.95,,,7417,,,1.856,1.927,2.369
1994,5244,,,,,2628,,,,,2696,,,0.11,0.15,,,5822,,,22.35,,,6760,,,1.37,1.185,3.048
1995,4672,,,0.0422,,2143,,,19.67,,2810,,,0.33,0.17,,,5395,,,28.31,,,6303,,,1.32,1.157,3.557
1996,3644,,,0.0369,,1967,,,19.187,,2790,,,0.22,0.15,,,6239,,,20.97,,,6523,,,1.293,1.381,3.317
1997,3382,,,0.0372,,1564,,,13.387,,3494,,,0.23,0.22,,,6271,,,18.92,,,6058,,,1.005,1.179,3.438
1998,3087,,,0.0345,,1866,,,23.752,,3786,,,0.32,0.14,,,13720,,,21.61,,,7680,,,2.33,1.733,4.246
1999,3187,,,0.0344,,1677,,,22.973,,4024,,,0.27,0.12,,,13949,,,19.56,,,7300,,,2.798,1.787,4.382
2000,4026,,,0.044,,2327,,,24.077,,4422,,,0.23,0.07,,,11249,,,16.18,,,7171,,,2.618,1.659,4.557
2001,4101,,,0.0456,,2409,,,26.099,,4206,,,0.18,0.13,,,10564,,,16.32,,,6456,,,1.441,1.305,3.602
2002,3750,,,0.0453,,2108,,,22.147,,3640,1529,5169,0.21,0.08,,,9655,26631,36286,25.22,,,4823,511,5334,1.817,1.785,3.748
2003,3375,,,0.0468,,2233,,,26.821,,3281,349,3630,0.16,0.11,,,9873,44930,54803,26.04,,,4722,1036,5758,1.996,1.671,3.969
2004,3319,,,0.0476,,2071,,,27.058,,3029,369,3398,0.12,0.09,,,9387,34273,43660,29.98,,,4574,635,5209,1.363,1.683,3.125
2005,3195,,,0.0471,,1904,,,25.903,,2813,419,3232,0.13,0.09,,,10238,35291,45529,23.51,,,4468,527,4995,1.283,1.22,2.958
2006,2977,,,0.0484,,1964,,,26.676,,2303,296,2599,0.07,0.1,,,9915,37977,47892,25.13,,,4290,1515,5805,1.074,1.02,3.452
2007,3510,,,0.0642,,2139,,,32.883,,2236,199,2435,0.1,0.12,,,10128,33328,43456,33.09,,,4488,451,4939,1.943,1.331,3.9
2008,3007,,,0.0666,,1781,,,39.854,,1953,318,2271,0.13,0.1,,,8551,27379,35930,31.36,,,3976,898,4874,1.747,1.331,2.927
