Survey,Year,Quarter,Area,AphiaID,Species,LngtClass,CPUE_number_per_hour,WeightfollowingCoull,kgperhour
NS-IBTS,1966,1,2,127140,Microstomus kitt,0,0,0,0
NS-IBTS,1966,1,2,127140,Microstomus kitt,270,0.125,0.226062982,0.028257873
NS-IBTS,1966,1,2,127140,Microstomus kitt,290,0.166625,0.275427991,0.045893189
NS-IBTS,1966,1,2,127140,Microstomus kitt,310,0.208375,0.331179717,0.069009573
NS-IBTS,1966,1,2,127140,Microstomus kitt,320,0.208375,0.361555147,0.075339054
NS-IBTS,1966,1,2,127140,Microstomus kitt,330,0.291625,0.393652069,0.114798785
NS-IBTS,1966,1,2,127140,Microstomus kitt,340,0.125,0.427511435,0.053438929
NS-IBTS,1966,1,2,127140,Microstomus kitt,350,0.083375,0.463173905,0.038617124
NS-IBTS,1966,1,2,127140,Microstomus kitt,360,0.25,0.500679858,0.125169965
NS-IBTS,1966,1,2,127140,Microstomus kitt,370,0.083375,0.540069404,0.045028287
NS-IBTS,1966,1,2,127140,Microstomus kitt,380,0.25,0.581382386,0.145345596
NS-IBTS,1966,1,2,127140,Microstomus kitt,410,0.125,0.717256659,0.089657082
NS-IBTS,1966,1,2,127140,Microstomus kitt,420,0.125,0.766656898,0.095832112
NS-IBTS,1966,1,4,127140,Microstomus kitt,0,0,0,0
NS-IBTS,1966,1,4,127140,Microstomus kitt,220,0.16675,0.128350126,0.021402383
NS-IBTS,1966,1,4,127140,Microstomus kitt,230,0.66675,0.145129516,0.096765105
NS-IBTS,1966,1,4,127140,Microstomus kitt,250,1.166749,0.18274529,0.213217884
NS-IBTS,1966,1,4,127140,Microstomus kitt,270,0.5,0.226062982,0.113031491
NS-IBTS,1966,1,4,127140,Microstomus kitt,280,0.5,0.249968226,0.124984113
NS-IBTS,1966,1,4,127140,Microstomus kitt,290,0.5,0.275427991,0.137713996
NS-IBTS,1966,1,4,127140,Microstomus kitt,310,0.5,0.331179717,0.165589858
NS-IBTS,1966,1,4,127140,Microstomus kitt,320,0.33325,0.361555147,0.120488253
NS-IBTS,1966,1,4,127140,Microstomus kitt,330,0.66675,0.393652069,0.262467517
NS-IBTS,1966,1,4,127140,Microstomus kitt,350,0.5,0.463173905,0.231586952
NS-IBTS,1966,1,4,127140,Microstomus kitt,360,0.66675,0.500679858,0.333828296
NS-IBTS,1966,1,4,127140,Microstomus kitt,370,0.75,0.540069404,0.405052053
NS-IBTS,1966,1,4,127140,Microstomus kitt,380,0.5,0.581382386,0.290691193
NS-IBTS,1966,1,4,127140,Microstomus kitt,400,0.16675,0.669936785,0.111711959
NS-IBTS,1966,1,4,127140,Microstomus kitt,410,0.16675,0.717256659,0.119602548
NS-IBTS,1966,1,5,127140,Microstomus kitt,0,0,0,0
NS-IBTS,1966,1,7,127140,Microstomus kitt,0,0,0,0
NS-IBTS,1966,1,7,127140,Microstomus kitt,180,0.071428,0.07370776,0.005264798
NS-IBTS,1966,1,7,127140,Microstomus kitt,220,0.142857,0.128350126,0.018335714
