"","Year","Quarter","kgperhour.x"
"15",1980,1,0.428889999213836
"16",1981,1,1.15173319739333
"17",1982,1,1.05060873602454
"18",1983,1,1.63432115708982
"19",1984,1,1.83764037201183
"20",1985,1,1.40630256074405
"21",1986,1,1.80412109838824
"22",1987,1,1.47391656433929
"23",1988,1,1.49269646574096
"24",1989,1,2.11525969455488
"25",1990,1,1.61407538286585
"26",1991,1,1.32077459781287
"27",1992,1,1.66525249484337
"28",1993,1,2.18671020309942
"29",1994,1,1.15349214055152
"30",1995,1,1.26760903526506
"31",1996,1,1.40685932058929
"32",1997,1,1.32606105073529
"33",1998,1,1.94947396757558
"34",1999,1,2.02139692106395
"35",2000,1,2.06320421675294
"36",2001,1,1.85083197139535
"37",2002,1,2.19580735320118
"38",2003,1,2.11027471237209
"39",2004,1,1.90725428006977
"40",2005,1,1.37752005971676
"41",2006,1,1.21788334036628
"42",2007,1,1.68718159757803
"43",2008,1,1.63390354569186
"44",2009,1,0.933805022186047
"45",2010,1,1.22443720068208
"46",2011,1,1.58004371746243
"47",2012,1,2.17708703707514
"48",2013,1,1.49048171893023
"49",2014,1,1.65838214202353
"50",2015,1,1.66711177030636
"51",2016,1,1.91615665013953
"52",2017,1,1.5434137859711
"53",2018,1,0.974141799093023
"54",2019,1,1.36479001504678
"55",2020,1,1.13917087176023
"56",1991,3,3.27777070175
"57",1992,3,4.02987023549367
"58",1993,3,2.81110923588535
"59",1994,3,3.50583233485987
"60",1995,3,3.55818285366892
"61",1996,3,3.851211524
"62",1997,3,3.27793406602745
"63",1998,3,4.45400691909091
"64",1999,3,4.69685651750633
"65",2000,3,6.01268569376923
"66",2001,3,4.92978631484615
"67",2002,3,4.62888754327848
"68",2003,3,4.99635066628846
"69",2004,3,4.07262248867089
"70",2005,3,4.48236090628662
"71",2006,3,4.49731268663924
"72",2007,3,5.93640930597452
"73",2008,3,4.90581409551899
"74",2009,3,4.39771848079747
"75",2010,3,5.02536411149367
"76",2011,3,6.02585598575949
"77",2012,3,6.60373647576582
"78",2013,3,5.03898009469231
"79",2014,3,6.37327060756688
"80",2015,3,7.10520287835443
"81",2016,3,7.00062767141772
"82",2017,3,5.92784926878481
"83",2018,3,4.53591579608228
"84",2019,3,5.54295478998101
