year,Ltur,Dtur,Ctur,Itur,Lbll,Dbll,Cbll,Ibll,Lwit,Dwit,Cwit,Iwit,Iwit.1,Ldab,Ddab,Cdab,Idab,Llem,Dlem,Clem,Ilem,Ilem.1,Ilem.2,llem.3
,Subarea 4,Subarea 4,Subarea 4,Subarea 4,"Subarea 4, div 3.a, div 7.d-e","Subarea 4, div 3.a, div 7.d-e","Subarea 4, div 3.a, div 7.d-e",Subarea 4,"Subarea 4, div 3.a","Subarea 4, div 3.a","Subarea 4, div 3.a","Subarea 4, div 3.a","Subarea 4, div 3.a","Subarea 4, div 3.a","Subarea 4, div 3.a","Subarea 4, div 3.a","Subarea 4, div 3.a","Subarea 4, div.3a, div 7.d","Subarea 4, div.3a, div 7.d","Subarea 4, div.3a, div 7.d","Subarea 4, div.3a, div 7.d","Subarea 4, div.3a, div 7.d","Subarea 4, div.3a, div 7.d","Subarea 4, div.3a, div 7.d"
,Ices advice 2019*,Ices advice 2019*,Ices advice 2019*,WGNSSK 2019,Ices advice 2019*,Ices advice 2019*,,WGNSSK 2019,WGNSSK 2019,WGNSSK 2019,,WGNSSK 2019,WGNSSK 2019,WGNSSK 2019,ices advice 2018,,WGNSSK 2016,WGNSSK 2019,WGNSSK 2019,,ICES advice 2018*,WGNSSK 2017,WGNSSK 2017,WGNSSK 2019
,Landings ,Discards ,Catches,LpUE Dutch 80 mm beam trawl fleet (BT2),Landings,Discards,Catches,LPUE Dutch beam trawl fleet > 221 kW,Landings,ICES discards,Catches,IBTS Q1,IBTS Q3,Landings ,Discards,Catch,IBTS Q1,Landings ,ICES discards,Catch,IBTS–Q1  SCO/NED,IBTS–Q1,IBTS–Q3,North Sea IBTS+BTS Q3 (GAM) 
,(tonnes),(tonnes),(tonnes),kg/kwday,(tonnes),(tonnes),(tonnes),(kg/day),(tonnes),(tonnes),(tonnes),(kg/hr),(kg/day),(tonnes),(tonnes),(tonnes),(kg/hr),(tonnes),(tonnes),(tonnes),(kg/hr),(kg/hr),(kg/hr),(kg/100hr)?
,,,,,,,,,,,,,,,,,,,,,,,,
1950,,,,,762,89,851,,2379,367,2746,,,7258,42893,50151,,4269,1175,5444,,,,
1951,,,,,926,108,1034,,2568,345,2913,,,9522,35513,45035,,5272,1451,6723,,,,
1952,,,,,873,102,975,,2554,346,2900,,,9270,36334,45604,,5463,1503,6966,,,,
1953,,,,,897,105,1002,,2263,381,2644,,,7038,43611,50649,,5958,1640,7598,,,,
1954,,,,,823,96,919,,1590,460,2050,,,6889,44096,50985,,4634,1275,5909,,,,
1955,,,,,844,99,943,,2027,408,2435,,,7880,40866,48746,,4079,1122,5201,,,,
1956,,,,,789,92,881,,1936,419,2355,,,7549,41945,49494,,3594,989,4583,,,,
1957,,,,,686,80,766,,1991,413,2404,,,8851,37700,46551,,3599,990,4589,,,,
1958,,,,,750,88,838,,2678,332,3010,,,8552,38675,47227,,3280,902,4182,,,,
1959,,,,,716,84,800,,2333,372,2705,,,7182,43141,50323,,3859,1062,4921,,,,
1960,,,,,856,100,956,,2563,345,2908,,,6482,45423,51905,,4254,1171,5425,,,,
1961,,,,,933,109,1042,,2093,401,2494,,,5969,47096,53065,,5169,1423,6592,,,,
1962,,,,,853,100,953,,1419,480,1899,,,5765,47761,53526,,4824,1328,6152,,,,
1963,,,,,791,92,883,,1523,467,1990,,,6180,46408,52588,,3956,1089,5045,,,,
1964,,,,,731,85,816,,1760,440,2200,,,6557,45179,51736,,4332,1192,5524,,,,
1965,,,,,738,86,824,,1356,487,1843,,,7571,41873,49444,,5218,1436,6654,,,,
1966,,,,,786,92,878,,1137,513,1650,,,7617,41723,49340,,5775,1589,7364,,0.327,,
1967,,,,,582,68,650,,1125,514,1639,,,5439,48823,54262,,6710,1847,8557,,0.259,,
1968,,,,,736,86,822,,1174,508,1682,,,5543,48484,54027,,6792,1869,8661,1.068,0.453,,
1969,,,,,947,111,1058,,891,542,1433,,,5552,48455,54007,,5000,1376,6376,1.487,0.664,,
1970,,,,,774,90,864,,597,576,1173,,,6262,46140,52402,,3859,1062,4921,0.935,0.44,,
1971,,,,,1243,146,1389,,843,547,1390,,,7788,41166,48954,,4497,1238,5735,0.083,0.072,,
1972,,,,,1189,139,1328,,908,540,1448,,,9570,35356,44926,,4315,1187,5502,0.341,0.181,,
1973,,,,,1210,142,1352,,1494,471,1965,,,11106,30349,41455,,5233,1440,6673,1.367,0.975,,
1974,,,,,1433,168,1601,,1138,513,1651,,,9149,36729,45878,,4761,1310,6071,1.552,0.573,,
1975,4589,367,4956,,1546,181,1727,,1841,430,2271,,,9082,36947,46029,,5379,1480,6859,1.653,0.402,,
1976,4816,344,5160,,1717,201,1918,,1496,471,1967,,,7500,42105,49605,,5233,1440,6673,0.971,0.279,,
1977,4486,346,4832,,2121,249,2370,,1618,456,2074,,,9020,37149,46169,,6325,1741,8066,0.759,0.596,,
1978,5036,380,5416,,2002,235,2237,,1664,451,2115,,,9037,37094,46131,,6954,1914,8868,1.25,0.565,,
1979,6365,459,6824,,2006,235,2241,,1572,462,2034,,,10959,30828,41787,,7521,2070,9591,1.166,0.488,,
1980,5486,408,5894,,1517,178,1695,,1883,425,2308,,,10690,31705,42395,,7298,2009,9307,0.629,0.321,,
1981,4756,419,5175,,1767,207,1974,,1933,419,2352,,,11133,30261,41394,,7016,1931,8947,1.668,0.963,,
1982,4454,412,4866,,1855,217,2072,,3155,276,3431,,,12467,25912,38379,,8487,2336,10823,1.666,0.853,,
1983,4576,331,4907,,2057,241,2298,,3606,223,3829,0.26,,14771,18401,33172,12.15,9507,2617,12124,1.418,1.61,,
1984,5297,372,5669,,2150,252,2402,,3903,188,4091,0.16,,8251,39656,47907,11.96,8111,2232,10343,1.667,1.629,,
1985,6188,345,6533,,2313,271,2584,,3979,179,4158,0.18,,7047,43581,50628,13.04,7575,2085,9660,0.581,1.273,,
1986,5264,400,5664,,1770,207,1977,,3579,226,3805,0.26,,4813,50864,55677,18.02,5937,1634,7571,1.128,1.467,,
1987,4272,479,4751,,1568,184,1752,,3700,212,3912,0.22,,6189,46378,52567,22.52,6495,1788,8283,0.825,1.313,,
1988,4042,467,4509,,1638,192,1830,,3290,260,3550,0.13,,9321,36168,45489,22.09,6798,1871,8669,1.15,1.357,,
1989,4927,439,5366,,1824,214,2038,,3841,195,4036,0.29,,8162,39946,48108,29.97,7024,1933,8957,1.88,1.583,,
1990,5751,487,6238,,1564,183,1747,,3862,193,4055,0.15,,4275,52618,56893,32.28,7485,2060,9545,2.133,1.548,,
1991,6340,512,6852,,2251,264,2515,,3641,219,3860,0.14,6,5057,50069,55126,20.86,7780,2141,9921,1.263,1.171,3.373,
1992,5934,514,6448,,2419,284,2703,,3164,275,3439,0.21,4.08,4101,53185,57286,30.91,7442,2048,9490,2.162,1.542,3.987,
1993,5547,508,6055,,3141,369,3510,,2673,333,3006,0.35,3.6,5004,50242,55246,32.95,7417,2041,9458,1.856,1.927,2.369,
1994,5244,541,5785,,2628,308,2936,,2696,330,3026,0.11,3.6,5822,47575,53397,22.35,6760,1861,8621,1.37,1.185,3.048,
1995,4672,576,5248,0.0422,2143,251,2394,19.67,2810,316,3126,0.33,4.08,5395,48967,54362,28.31,6303,1735,8038,1.32,1.157,3.557,
1996,3644,547,4191,0.0369,1967,231,2198,19.187,2790,319,3109,0.22,3.6,6239,46215,52454,20.97,6523,1795,8318,1.293,1.381,3.317,
1997,3382,539,3921,0.0372,1564,183,1747,13.387,3494,236,3730,0.23,5.28,6271,46111,52382,18.92,6058,1667,7725,1.005,1.179,3.438,
1998,3087,470,3557,0.0345,1866,219,2085,23.752,3786,202,3988,0.32,3.36,13720,21827,35547,21.61,7680,2114,9794,2.33,1.733,4.246,
1999,3187,512,3699,0.0344,1677,197,1874,22.973,4024,174,4198,0.27,2.88,13949,21081,35030,19.56,7300,2009,9309,2.798,1.787,4.382,
2000,4026,430,4456,0.044,2327,273,2600,24.077,4422,127,4549,0.23,1.68,11249,29883,41132,16.18,7171,1974,9145,2.618,1.659,4.557,
2001,4101,470,4571,0.0456,2409,283,2692,26.099,4206,153,4359,0.18,3.12,10564,32116,42680,16.32,6456,1777,8233,1.441,1.305,3.602,
2002,3750,456,4206,0.0453,2108,247,2355,22.147,3640,1529,5169,0.21,1.92,9655,26631,36286,25.22,4823,511,5334,1.817,1.785,3.748,
2003,3375,450,3825,0.0468,2233,262,2495,26.821,3281,349,3630,0.16,2.64,9873,44930,54803,26.04,4722,1036,5758,1.996,1.671,3.969,
2004,3319,461,3780,0.0476,2071,243,2314,27.058,3029,369,3398,0.12,2.16,9387,34273,43660,29.98,4574,635,5209,1.363,1.683,3.125,
2005,3195,425,3620,0.0471,1904,223,2127,25.903,2813,419,3232,0.13,2.16,10238,35291,45529,23.51,4468,527,4995,1.283,1.22,2.958,2145.426133
2006,2977,419,3396,0.0484,1964,230,2194,26.676,2303,296,2599,0.07,2.4,9915,37977,47892,25.13,4290,1515,5805,1.074,1.02,3.452,2359.291704
2007,3510,275,3785,0.0642,2139,251,2390,32.883,2236,199,2435,0.1,2.88,10128,33328,43456,33.09,4488,451,4939,1.943,1.331,3.9,2785.074198
2008,3007,223,3230,0.0666,1781,209,1990,39.854,1953,318,2271,0.13,2.4,8551,27379,35930,31.36,3976,898,4874,1.747,1.331,2.927,2504.652054
2009,3091,188,3279,0.0659,1900,223,2123,40.096,1818,455,2273,0.051,2.16,7059,33421,40480,22.81,3397,996,4393,0.79,0.862,3.293,2073.21462
2010,2692,179,2871,0.0583,2317,272,2589,50.43,1490,559,2049,0.077,2.64,7829,42486,50315,23.72,3198,673,3871,1.19,0.954,3.854,3024.347123
2011,2807,226,3033,0.0592,2250,264,2514,52.139,1530,547,2077,0.094,3.36,7369,44460,51829,25.32,4019,1024,5043,2.057,1.265,4.106,3680.845276
2012,2914,212,3126,0.0733,2249,264,2513,55.82,1895,555,2450,0.137,5.04,6748,52632,59380,27.65,2959,2461,5420,2.383,1.895,4.474,3282.970993
2013,3084,97,3181,0.0751,2082,24,2106,53.009,1993,254,2247,0.151,3.36,6085,53476,59561,20.28,3761,5938,9699,1.988,1.249,2.575,3921.138474
2014,2834,159,2993,0.0745,1942,231,2173,46.166,2647,307,2954,0.2,3.12,4958,53733,58691,34.56,3688,1690,5378,0.934,0.968,2.766,3688.022985
2015,2978,112,3090,0.0871,2537,230,2767,61.505,2238,449,2687,0.156,4.56,5157,47372,52529,33.59,3393,1636,5029,1.179,1.019,2.668,3710.482649
2016,3421,666,4087,0.0968,2415,267,2682,55.723,2738,390,3128,0.144,4.32,5485,44811,50296,34.87,3805,1167,4972,1.068,1.097,2.985,3783.503631
2017,3641,496,4137,0.0927,2293,208,2501,48.814,2855,236,3091,0.168,3.12,3529,55050,58579,,3323,651,3974,0.725,0.995,,3777.955591
2018,3168,486,3654,0.073,1947,344,2291,39.093,3001,199,3200,0.087,3.6,4377,52286,56663,,3014,332,3346,,,,3539.890708
